Date,Ticker,PredictedSignal,PredictedProb,Volatility,Action,Priority,BasePositionPct,AdjustedPositionPct,PositionValue,MaxLossValue,RiskScore
,,,,,,,,,,,
10/18/2021,AAPL,1,0.8101,0.0116,BUY,0.8416,0.15,0.145,14500.0,337.27,0.9667
10/18/2021,AMZN,1,0.2568,0.0144,SELL,0.0,0.0,0.0,0.0,0.0,0.3222
10/18/2021,TSLA,1,0.4499,0.0123,BUY,0.0,0.0,0.0,0.0,0.0,0.4667
10/18/2021,NVDA,1,0.7168,0.0216,BUY,0.0,0.0,0.0,0.0,0.0,0.5444
10/18/2021,PANW,0,0.2279,0.0145,SELL,0.0,0.0,0.0,0.0,0.0,0.2111
10/18/2021,META,1,0.7734,0.019,BUY,0.5974,0.15,0.1083,10833.33,411.37,0.7222
10/18/2021,SHOP,1,0.708,0.0195,BUY,0.0,0.0,0.0,0.0,0.0,0.5
10/18/2021,MSFT,1,0.5984,0.0126,BUY,0.0,0.0,0.0,0.0,0.0,0.5111
10/18/2021,PLTR,1,0.6302,0.0195,BUY,0.0,0.0,0.0,0.0,0.0,0.4556
10/19/2021,AMZN,1,0.3208,0.0143,BUY,0.0,0.0,0.0,0.0,0.0,0.4
10/19/2021,TSLA,1,0.7942,0.0129,BUY,0.7432,0.15,0.1233,12333.33,318.17,0.8222
10/19/2021,META,1,0.7392,0.0194,BUY,0.0,0.0,0.0,0.0,0.0,0.5
10/19/2021,SHOP,1,0.7492,0.0186,BUY,0.0,0.0,0.0,0.0,0.0,0.6111
10/19/2021,MSFT,1,0.3257,0.0126,BUY,0.0,0.0,0.0,0.0,0.0,0.5444
10/19/2021,PANW,0,0.2234,0.0144,SELL,0.0,0.0,0.0,0.0,0.0,0.2111
10/19/2021,AAPL,1,0.8057,0.0121,BUY,0.839,0.15,0.145,14500.0,350.39,0.9667
10/19/2021,NVDA,1,0.46,0.0213,BUY,0.0,0.0,0.0,0.0,0.0,0.3889
10/19/2021,PLTR,1,0.3102,0.0182,BUY,0.0,0.0,0.0,0.0,0.0,0.2556
10/20/2021,AAPL,1,0.6647,0.0116,BUY,0.0,0.0,0.0,0.0,0.0,0.6556
10/20/2021,NVDA,1,0.7079,0.0216,BUY,0.0,0.0,0.0,0.0,0.0,0.5444
